symbol,Company Name,Sector
RELIANCE,Reliance Industries Ltd.,Oil & Gas
TCS,Tata Consultancy Services Ltd.,Information Technology
HDFCBANK,HDFC Bank Ltd.,Financial Services
INFY,Infosys Ltd.,Information Technology
ICICIBANK,ICICI Bank Ltd.,Financial Services
HINDUNILVR,Hindustan Unilever Ltd.,FMCG
ITC,ITC Ltd.,FMCG
SBIN,State Bank of India,Financial Services
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication
KOTAKBANK,Kotak Mahindra Bank Ltd.,Financial Services
LT,Larsen & Toubro Ltd.,Construction
AXISBANK,Axis Bank Ltd.,Financial Services
WIPRO,Wipro Ltd.,Information Technology
ASIANPAINT,Asian Paints Ltd.,Consumer Durables
HCLTECH,HCL Technologies Ltd.,Information Technology
MARUTI,Maruti Suzuki India Ltd.,Automobile
BAJFINANCE,Bajaj Finance Ltd.,Financial Services
TITAN,Titan Company Ltd.,Consumer Durables
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare
TECHM,Tech Mahindra Ltd.,Information Technology
NESTLEIND,Nestle India Ltd.,FMCG
POWERGRID,Power Grid Corporation of India Ltd.,Power
ULTRACEMCO,UltraTech Cement Ltd.,Cement
ADANIENT,Adani Enterprises Ltd.,Metals & Mining
TATAMOTORS,Tata Motors Ltd.,Automobile
ONGC,Oil and Natural Gas Corporation Ltd.,Oil & Gas
TATASTEEL,Tata Steel Ltd.,Metals & Mining
JSWSTEEL,JSW Steel Ltd.,Metals & Mining
NTPC,NTPC Ltd.,Power
INDUSINDBK,IndusInd Bank Ltd.,Financial Services
M&M,Mahindra & Mahindra Ltd.,Automobile
COALINDIA,Coal India Ltd.,Metals & Mining
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services
HINDALCO,Hindalco Industries Ltd.,Metals & Mining
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare
GRASIM,Grasim Industries Ltd.,Cement
DIVISLAB,Divi's Laboratories Ltd.,Healthcare
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile
BRITANNIA,Britannia Industries Ltd.,FMCG
HEROMOTOCO,Hero MotoCorp Ltd.,Automobile
ADANIPORTS,Adani Ports and SEZ Ltd.,Services
CIPLA,Cipla Ltd.,Healthcare
UPL,UPL Ltd.,Chemicals
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services
EICHERMOT,Eicher Motors Ltd.,Automobile
BPCL,Bharat Petroleum Corporation Ltd.,Oil & Gas
TATACONSUM,Tata Consumer Products Ltd.,FMCG
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare
SHREECEM,Shree Cement Ltd.,Cement
HDFC,Housing Development Finance Corporation Ltd.,Financial Services
